accessionNo,boxNumber,title,placeOfPublication,publisher,dateOfPublication,descriptionContent,type,paper,abstract,keywords,,,,,
E2-0033AC,,,,,,,,"Trends and perspectives in Philippine Engineering Education towards the next millennium 
by Marino M. Mena ","As the world gears towards the new millennium Y2K it is essential for us to make an assessment of our past achievements and to identify the changes that we have to make in order to respond to the demands of the future. One of the areas which has to be dynamic to keep pace with the rapid advances in scientific knowledge is education in general and engineering education in particular. This paper focuses on trends and perspectives in engineering education in the Philippines in general and at the College of Engineering, University of the Philippines in particular. The new millennium will have challenges at various geographical levels which will have implications on engineering education. It is important that the changes are made at the proper time and in the right direction. ",Engineering education--Philippines,,,,,
E2-0034AC,,,,,,,,"Global trends and issues in civil engineering education
by Marino M. Mena ","Societies throughout the world are aware of the achievements in civil engineering. It is recognized world-wide that the civil engineer is one major instrument in development and change and plays a fundamental role in shaping the world. But development is now more and more a compromise between that which is technically possible, that which is considered economically attractive, and that which is acceptable on environmental grounds. The concept of sustainable development has emerged in the last decades of the 20th century and is gaining global acceptance. Information and communication technology (ICT) is now a global tool for development. We are moving rapidly towards on e-environment. The questions are : What are the implications of these global trends and issues on civil engineering education? Is the present professional education and training for the civil engineer adequate to meet these new challenges? How could the civil engineering education be able to respond to these challenges? This paper aims to answer these questions and hopefully will be useful to civil engineering education planners, administrators and educators. ","Civil engineering education
Sustainable development ",,,,,
E2-0035AC,,,,,,,,"Setting objectives and strategies for technical education 
by Marino M. Mena ","A former deputy minister of education in the 1980s said : ""The Philippine educational system is irrelevant and elitist, is not attuned to the needs of the times, and is oriented more to the welfare of the rich"". (Bulletin Today, February 16, 1980)
In the case of engineering education programs in the Philippines, we also often hear people from industry saying that ""real"" engineering is not that which is practiced in the classroom with fully specified problems and specific answers obtainable by analytical methods. There is considerable confusion and misunderstanding both in industry and among educators concerning the roles to be played by engineering and/or technician programs and by their graduates. This situation results in the employment of engineers who are performing as technicians of technologists. This mismatch leads to the perception that engineering graduates lack the knowledge and skills to meet the needs of industry. It is the purpose of this paper to address this problem. It discusses the processes involved in the setting up of objectives and the strategies for the attainment of these objectives. ","Technical education
Engineering education programs",,,,,
E2-0036AC,,,,,,,,"Strategies in upgrading engineering education : academe viewpoint
by Marino M. Mena ",,Engineering education,,,,,
E2-0037AC,,,,,,,,"Teaching strategies in engineering education : towards effectiveness 
by Marino M. Mena ",,Engineering education,,,,,
E2-0038AC,,,,,,,,"Treatment of values during the engineering educational process
by Marino M. Mena ",,Engineering educational processes,,,,,
E2-0039AC,,,,,,,,"Environmental Undergraduate Research in Civil Engineering
by Professor Marino M. Mena ",,"Environmental undergraduate research
Civil engineering",,,,,
E2-0040AC,,,,,,,,"Environmental and social concerns in highway transportation projects 
by Professor Marino M. Mena ",In recent years there has been increasing public awareness of the impacts of highway transportation on the environment. These environmental and socioeconomic concerns have to be reflected in our transportation planning and decision making processes. All efforts must be made to ensure that our development policies and programs are consistent with our environmental objectives. This paper discusses the environmental and socioeconomic concerns and how the Environmental Impact Assessment (EIS) can be used as a tool for transportation decision-making as well as for environmental management. ,"Environmental Impact Assessment (EIS)
Highway transportation projects ",,,,,
E2-0041AC,,Towards the establishment of a national engineering education system as a mechanism for rationalizing engineering education : a macro-plan for engineering education in the Philippines ,,,"Bureau of Higher Education, Department of Education, Culture and Sports",Technical Panel for Engineering Education,,,,"National Engineering Education System 
Engineering education--Philippines",,,,,
E2-0042AC,,,,,,,,"Faculty Manual
1997 Edition",,Faculty Manual ,,,,,
E2-0043AC,,,,,,"Presented at the Conference/Workshop on Productivity Improvement in Engineering and Technological Education, National Engineering Center, September 18, 1984. ",,"Current statue of engineering and technological education in the Philippines 
by Leopoldo V. Abis ",,Engineering and technological education--Philippines ,,,,,
E2-0044AC,,,,,,,,"Introducing ""Technology Forum""",,,,,,,
E2-0045AC,,,,,,,,"Proposal Summary
Feasibility study for the establishment of a National Telecommunication Training Program ",,National Telecommunication Training Program ,,,,,
E2-0046AC,,,,,,,,Proposed Integrated Program on Energy and Resources by U.P. College of Engineering Staff,,Energy and Resources Integrated Program ,,,,,
E2-0047AC,,,,,,,,"Proposal for a systems audit of the UP College of Engineering 
by Amado A. San Mateo
31 July 1979",,"Systems audit
UP College of Engineering",,,,,
E2-0048AC,,,,,,,,"Presidential Task Force Report on Science and Technology Development 
March 27, 1989",,"Science and Technology Development 
Presidential Task Force Report ",,,,,
E2-0049AC,,"Thoughts of Wisdom 
Volume 5
Jokes and Lessons in Engineering Education
by Marino M. Mena",,,,50 items,,,,,,,,,
E2-0050AC,,"Thoughts of Wisdom
Volume 8
My Spatial Environment of Childhood and Adolescence
by Marino M. Mena ",,,,"Dedication
Acknowledgement
Introduction
The Spatial Environment of My Childhood (1-6 years old, 1933-1939)
The Spatial Environment of My Young Adolescence (7-15 years old, 1940-1948)
Location map of the town proper of Sta. Cruz, Province of Zambales
World War II in Terms of My Spatial Environment
Back to the Town Proper After the War
The Spatial Environment of My Adolescence (16-23 years old, 1948-1956)
The Spatial Environment of My Professional Adolescence (1957-1998)
Location Map of the U.P. Diliman Campus
The Spatial Environment of My Retired Life (1998-   )
Concluding Remarks
Closing Thoughts
Memories in Pictures",,,,,,,,,
E2--0051AC,,,,,,,,"GMA's Sacrifice and Call for National Unity
by Marino M. Mena
(January 2003)",,,,,,,
E2-0052AC,,,,,,,,"Leadership : the crucial issue in the 2004 National Election
by Marino M. Mena
Thoughts of February 2003",,Elections--Philippines ,,,,,
E2-0053AC,,,,,,,,"Vision of greatness : the people's role
by Marino M. Mena 
Thoughts of March 2003",,,,,,,
E2-0054AC,,,,,,,,"War against SARS : people versus a killer versus
by Marino M. Mena 
Thoughts of April 22, 2003
(A new kind of war)",,Severe Acute Respiratory Syndrome (SARS),,,,,
E2-0055AC,,,,,,,,"Our lady of peace and good voyage of Antipolo
As Narrated to and Recalled by
Marino M. Mena 
Thoughts of the month of May
(Pilgrimage Season)",,,,,,,
E2-0056AC,,,,,,,,"The 22-Hour Mutiny in Makati 
by Marino M. Mena 
Thoughts of July 27, 2003
(Mutiny in Makati)",,,,,,,
E2-0057AC,,,,,,,,"Ninoy Aquino and The ""People Power People"" Movement 
by Marino M. Mena 
Thoughts of August 21, 2003
(20th Death Anniversary of Ninoy Aquino)",,,,,,,
E2-0058AC,,,,,,,,"The Meaning of Christmas and The Philippines 
by Marino M. Mena 
Thoughts of December 2003
(Christmas)",,,,,,,
E2-0059AC,,,,,,,,"The FPJ Disqualification Case
by Marino M. Mena ",,,,,,,
E2-0060AC,,,,,,,,"Vote and be counted
Thoughts of March 2004 ",,,,,,,
E2-0061AC,,,,,,,,"Post-War Iraq
by Marino M. Mena
Thoughts of April 12, 2003 ",,Saddam Hussein,,,,,
E2-0062AC,,,,,,,,"Our 106th Philippine Independence Day : where are we today?
by Marino M. Mena 
Thoughts of June 12, 2004",,Independence Day--Philippines ,,,,,
E2-0063AC,,,,,,,,"An Appeal to the Electorate
by Marino M. Mena
Thoughts of March 2004
Vote for the Sake of Our National Home
by Marino M. Mena
Thoughts of April 2004
The Engineer
The U.P. Civil Engineering Department
The U.P. College of Engineering 
Graduation Day
The U.P. Engineering Library
Thoughts of March 2004 ",,,,,,,
E2-0064AC,,"Thoughts of Wisdom
by Marino M. Mena ",,,,"My Advice to the Youth
Measure of Life
Friendship
Gratefulness
Let Us Seek to Do Some Good
Let Us Aim for What is Ideal
We Have to be More Positive
The Satisfaction of Work
Traits of Effective Leaders
A Father's Image
The Important Role of Mothers in Nation Building
Does College Education Pay
The Prayer
The Constitution
Fight Against Poverty
What is Leadership?
Virtue : A Quality Most Needed in Government
Peace
Let Us Grow the Plant If We Want the Fruit
Our Economic System and Your Part in It
The Real Test of Our Economy is Opportunity
Justice
Our Environment and Your Part in It
Mutual Aid Means Goodwill, Cooperation and Unselfishness",,,,,,,,,
E2-0065AC,,"Thoughts of Wisdom 
Volume 2
Education : The Key to Success",,,,"Educated Citizenry : The Key to Freedom and National Progress
Education : The Key to One's Professional Growth
Teachers : Their Role in Education
Parents : Their Role in Education
Alumni : Their Role in Education
Business : Its Role in Education
The School Curricula : The Need for Updated Relevance 
Education : Its Environmental Dimensions
Endowment and Private Supports : The Key to Security
Leadership in Education : The Key to Reforms ",,,,,,,,,
E2-0066AC,,Thoughts of Wisdom (Volume 2 : On Education),,,,"Educated Citizenry : The Key to Freedom and National Progress
Education : The Key to One's Professional Growth
Teachers : Their Role in Education
Parents : Their Role in Education
Alumni : Their Role in Education
Business : Its Role in Education
The School Curricula : The Need for Updated Relevance 
Education : Its Environmental Dimensions
Endowment and Private Supports : The Key to Security
Leadership in Education : The Key to Reforms ",,,,,,,,,
E2-0067AC,,"Thoughts of Wisdom 
Volume 3
Education and The Engineering Profession",,,,"Engineering : As a Profession
Achievements of Engineering : Wheels of Progress
Requirements for Entry to the Engineering Profession
College of Engineering : The Gateway
Admissions to the Bachelor's Program : Its Importance 
The Undergraduate Program (BS Degree) : Its Objectives
The Undergraduate Engineering Curriculum : Philosophy
The Graduate Programs (MS/PhD) : Its Role
Continuing Education : Its Role
Engineering Students : Their Responsibilities
The Engineering Faculty : Their Role
Engineering Library : Its Role
Student Organizations : Their Role
The Engineering Alumni : Their Role
The Professional Engineering Societies : Their Role
The Government : Its Role
Industry : Its Role
Academic Governance : Leadership, Mission and Goals
Engineering Education : Its Future 
Final Thought ",,,,,,,,,
E2-0068AC,,"Thoughts of Wisdom
Volume 4
Mathematics : its usefulness in our day-to-day living and in engineering ",,,,"Engineering Mathematics : The Most Reliable Single Index of Engineering Ability
Engineering Mathematics : Its Objective and Functions
Engineering Mathematics : Its Branches and Definitions
Exposition of Engineering Problems : The Ideal Pattern
Illustrative Problems
Problem Set I (Our Economy)
I-1 The Concept of Value-Added Idea
I-2 Value Added : Story of the Jeans
I-3 The Story of the Paper
I-4 Energy for Economic Growth : The Story of the Oil
I-5 Efficiency in Business
I-6 To Sell or Not to Sell
Problem Set II (Our Environment)
Definitions
II-1 Concentration of Pollutant 
II-2 Material Balance Equation and Water Pollution
II-3 Material Balance Equation and Air Pollution
Comments
Problem Set III (Opyimum Location)
III-1 Straightline Distances Between Points
III-2 Optimum Location of  Machine in Relation to Two Existing Machines
III-3 Optimum Location of a New Machine in Relation to Three Existing Machines
III-4 Optimum Location of a New Machine in Relation to Four Existing Machines
III-5 Problem III-3 but with a volume factor
Comments ",,,,,,,,,
E2-0069AC,,"Thoughts of Wisdom 
Volume 6
Science : Its importance in our day-to-day living ",,,,"Introduction
Fields of Science and Their Definitions
Science Teaching in Formal Education (Philippine System)
Proposal for Upgrading Science Education
Elementary Level
High School Level
College Level
Suggestions to Science Teachers
Justifications for the Proposal
Importance
Figure on Ladder of Formal Education
Illustrative Questions for Teaching
Illustrative 1 (Life Science)
Illustrative 2 (Earth Science)
The Role of Science Teachers
Strategy for Upgrading
Implications on Higher Education
Concluding Remarks
Message ",,,,,,,,,
E2-0070AC,4,,,,,,,"The use of aerial photographs in mapping the soils of the University of the Philippines Diliman Campus
by Romeo C. Bruce and Juan G. Veracion ",,,,,,,
E2-0071AC,,,,,,,,"A literature research on systems development life cycle and computer aided systems engineering by Joel Boot, Kirby Luke Cayonong, Ingrid C. Lin and Enrique Paolo Tanlapco",,Systems Development Life Cycle ,,,,,
E2-0072AC,,,,,,,,"A research on systems development life cycle 
by Yazmin Basiao, Cathy Ces, Rupher dela Paz and Eileen Luna ",,Systems Development Life Cycle ,,,,,
E2-0073AC,,,,,,,,"Thirty-six years of engineering research in energy (1957-1993) 
by Ibarra E. Cruz, Ph.D.

Presented at the NRCP pre-Diamond Jubilee Conference. November 24, 1993 (as a Professorial Chair Lecture)","Thirty-six years of engineering research in energy are reviewed, covering a period that started in 1957, when the engineering graduate program at the University of the Philippines was in its earliest stages, up to the present time. Titles and brief descriptions of research projects which are known to the author are presented. Discussed are problems of inadequate funding and inexperienced researchers tackling ambitious studies in the early years. Recounted are the euphoria of the golden years when the energy crisis brought a deluge of research money in the mid-70ss, and the frustrations of the lean years of declining research funds due to a softening of petroleum prices in the mid-80s. A story is told of the struggle of graduate students and faculty members of the U.P. College of Engineering to conduct laboratory experiments under less than ideal conditions and of the failures and the successes leading to national energy programs that aimed at the widespread use of producer gas, alcohol and coconut oil as substitute fuels for gasoline and diesel. The story is concluded with a forecast of researches that should be continued in 1994 to the year 2000, with high hopes that the accomplishments of the past thirty-six years will be continued and expanded.",,,,,,
E2-0074AC,,,,,,,,"Disaster risk management background of dmaps for infrastructure 
by Benito M. Pacheco, PhD, PE 

Philippine Engineering Journal
PEJ 2007; Vol. 28, No. 2 : 1-28","The first part of this paper is a situationer for the Philippines in the most recent (2009) UN global assessment report that ranked it among the first 14 of approximately 200 countries and economies whose population is most at risk from earthquakes, cyclones, landslides, and floods. Second is an introduction of DMAPS for Infrastructure, a new (2009) public-private partnership agreement for disaster mitigation, adaptation, and preparedness strategies for infrastructure, involving scientists and engineers in the Philippines; this may be viewed as having evolved from the Philippine Institute of Civil Engineers DMAPS that was first conceptualized five years earlier (2004), and DQRP that was first institutionalized four years even before (2000), both volunteerism programs by Filipino civil engineers. Third and main part is a framework of concepts and terminologies that the author proposes for engineers and scientists to harmonize among themselves and with professionals in finance, medicine, and other disciplines. The author proposes that fundamental issues common to various professional disciplines concerning the management of risk be associated with four general steps of risk management, easily remembered as R-I-S-K : Recognize, Impute an estimate, Survey over time, and Keep inside tolerance range. The particular type of risk needs to be clearly recognized (in step 1 of risk management), before deciding on the ordinal or other level of measure to impute an estimate (in step 2 of risk management). The older paradigm of managing disaster meets the newer paradigm of managing risk, at the step of surveying the risk over time (in step 3 of risk management), by virtue of the recognition that risk factors do evolve. Risk reduction is cited as the preferred mode of keeping disaster risk inside the tolerance range, yet many risk control modes indeed exist (in step 4 of risk management) from many viewpoints. Highlights of the four steps of the risk management spiral are summarized; ideally, each complete cycle of risk management R-I-S-K brings down the level of uncertainty and reduces the risk. It is proposed that the DMAPS for Infrastructure public-private partnership program be viewed in this framework. In appendices, this paper includes three essays that offer an alternative way of appreciating risk management concepts and terminologies. ","Risk factor
Hazard
Exposure
Vulnerability
Uncertainty
Human factor
Risk management spiral
Volunteerism ",,,,,
E2-0075AC,,,,,,,,"Computer simulation of fuel consumption in driving cycles
by Gino T. Bautista, B.S.M.E
May 1988",A computer model for simulating fuel consumption of a road vehicle over any prescribed driving cycle was developed using steady-state performance data from chassis dynamometer tests. The method is simple and does not require sophisticated chassis dynamometer test facilities. The method also eliminates variances due to driving style. It was determined that the predictions of the computer model agree closely with fuel consumption figures from actual road tests. The use of steady-state performance data from chassis dynamometer tests was found to be suitable in predicting fuel consumption of driving cycles. This study and its conclusions are limited to diesel engine driven road vehicles. ,,,,,,
E2-0076AC,,,,,,,,"Progress report no. 10 of the ESA-UNET Subproject B : research on industrial wastewater treatment.
March 1, 1997 - May 31, 1997
by Mark Noort
Project Coordinator, CICAT (Centre for International Cooperation and Appropriate Technology)
Delft University of Technology ","Work progressed on the finalization of research reports and publications. Regular communication was maintained on these subjects. The different participating universities started preparing plans for future activities after this project phase along the lines sketched in the mid-term workshop report. A proposal was made to hold a final workshop at ITB Bandung in November and submitted to the European Union. Preparations of the workshop are in progress. During the workshop in Bandung the final results of the projects will be presented and plans will be made for future activities. The core future activity will be joint research with industry from each participating ASEAN country. The output from project A on technology transfer will be used as input for the formulation of plans for further network development and interaction between universities and industry for the specific topic of industrial wastewater treatment. The output of the workshop will be a clear strategy on how to tackle this issue and what should be the role of the participating universities, companies and RIET in future activities, like joint-ventures, technology transfer and dissemination of research results. The final workshop will also provide an excellent opportunity for interaction with Indonesian industry and for a discussion on the experiences in the joint formulation of research plans with industry from each ASEAN country. Mr. Chu of the University of Malaya and Mr. Noort of the TU Delft participated in the general ESA-UNET network meeting in Aachen in June. ",,,,,,
E2-0077AC,,,,,,,,Institution of a master's degree program in naval architecture and marine engineering at the University of the Philippines ,,,,,,,
